ID	official_symbol	differentially_expressed	kinase_function	phosphorylation_site
at1g19020	AT1G19020	no	no	yes
at1g19130	AT1G19130	no	no	yes
at1g19220	ARF19	no	no	no
at1g19350	BES1	no	no	yes
at1g19670	CLH1	no	no	no
at1g19830	AT1G19830	no	no	no
at1g19850	MP	no	no	no
at1g19980	AT1G19980	no	no	no
at1g20010	TUB5	no	no	no
at1g20510	OPCL1	no	no	no
at1g20620	CAT3	no	no	yes
at1g20630	CAT1	no	no	yes
at1g20650	AT1G20650	no	yes	yes
at1g20693	HMGB2	no	no	yes
at1g20700	WOX14	no	no	no
at1g20930	CDKB2;2	no	yes	yes
at1g20960	emb1507	no	no	no
at1g21000	AT1G21000	no	no	yes
at1g21100	AT1G21100	no	no	no
at1g21120	AT1G21120	no	no	no
at1g21130	AT1G21130	no	no	no
at1g21230	WAK5	no	yes	no
at1g21250	WAK1	no	yes	no
at1g21270	WAK2	no	yes	no
at1g21450	SCL1	no	no	no
at1g21460	AT1G21460	no	no	no
at1g22060	AT1G22060	no	no	yes
at1g22070	TGA3	no	no	no
at1g22430	AT1G22430	no	no	yes
at1g22510	AT1G22510	no	no	no
at1g22530	PATL2	no	no	yes
at1g22920	CSN5A	no	no	yes
at1g23080	PIN7	no	no	yes
at1g23090	AST91	no	no	no
at1g23550	SRO2	no	no	no
at1g23730	BCA3	no	no	yes
at1g24140	AT1G24140	no	no	no
at1g24150	FH4	no	no	yes
at1g24170	LGT9	no	no	no
at1g24280	G6PD3	no	no	no
at1g25275	AT1G25275	no	no	yes
at1g25330	AT1G25330	no	no	no
at1g25380	NDT2	no	no	no
at1g25490	RCN1	no	no	yes
at1g25510	AT1G25510	no	no	no
at1g25560	TEM1	no	no	no
at1g26110	DCP5	no	no	yes
at1g26270	AT1G26270	no	no	yes
at1g26380	AT1G26380	no	no	no
at1g26410	AT1G26410	no	no	yes
at1g26420	AT1G26420	no	no	no
at1g26550	AT1G26550	no	no	no
at1g26840	ORC6	no	no	no
at1g27030	AT1G27030	no	no	no
at1g27060	AT1G27060	no	no	no
at1g27450	APT1	no	no	no
at1g27540	AT1G27540	no	no	yes
at1g27730	STZ	no	no	no
at1g27970	NTF2B	no	no	no
at1g28190	AT1G28190	no	no	yes
at1g28280	AT1G28280	no	no	yes
at1g28300	LEC2	no	no	no
at1g28480	GRX480	no	no	no
at1g28520	VOZ1	no	no	no
at1g28680	AT1G28680	no	no	no
at1g29120	AT1G29120	no	no	no
at1g29240	AT1G29240	no	no	yes
at1g29400	ML5	no	no	yes
at1g29640	AT1G29640	no	no	no
at1g29720	AT1G29720	no	yes	no
at1g30270	CIPK23	no	yes	yes
at1g30360	ERD4	no	no	yes
at1g30400	MRP1	no	no	no
at1g30530	UGT78D1	no	no	no
at1g30690	AT1G30690	no	no	yes
at1g31820	AT1G31820	no	no	no
at1g31870	AT1G31870	no	no	yes
at1g31930	XLG3	no	no	no
at1g32150	bZIP68	no	no	no
at1g32170	XTH30	no	no	no
at1g32500	NAP6	no	no	yes
at1g32640	MYC2	no	no	yes
at1g32700	AT1G32700	no	no	yes
at1g32740	AT1G32740	no	no	no
at1g33560	ADR1	no	yes	yes
at1g34210	SERK2	no	yes	yes
at1g34570	AT1G34570	no	no	yes
at1g34640	AT1G34640	no	no	no
at1g35140	PHI-1	no	no	no
at1g35210	AT1G35210	no	no	no
at1g35230	AGP5	no	no	no
at1g35670	CDPK2	no	yes	yes
at1g36060	AT1G36060	no	no	no
at1g36070	AT1G36070	no	no	no
at1g37130	NIA2	no	no	yes
at1g42990	BZIP60	no	no	no
at1g43700	VIP1	no	no	yes
at1g43800	AT1G43800	no	no	no
at1g43850	SEU	no	no	no
at1g44100	AAP5	no	no	no
at1g44110	CYCA1;1	no	no	no
at1g45249	ABF2	no	no	yes
at1g47128	RD21	no	no	no
at1g47710	AT1G47710	no	no	no
at1g48210	AT1G48210	no	yes	yes
at1g48470	GLN1;5	no	no	no
at1g48630	RACK1B_AT	no	no	no
at1g49580	AT1G49580	no	yes	yes
at1g49720	ABF1	no	no	yes
at1g49760	PAB8	no	no	yes
at1g49910	BUB3.2	no	no	no
at1g50290	AT1G50290	no	no	no
at1g50440	AT1G50440	no	no	no
at1g50740	AT1G50740	no	no	no
at1g51170	AT1G51170	no	yes	no
at1g51660	MKK4	no	yes	no
at1g51800	AT1G51800	no	yes	yes
at1g52100	AT1G52100	no	no	no
at1g52290	AT1G52290	no	yes	yes
at1g52340	ABA2	no	no	no
at1g52695	AT1G52695	no	no	no
at1g52830	IAA6	no	no	yes
at1g52920	GPCR	no	no	yes
at1g53170	ERF8	no	no	no
at1g53280	AT1G53280	no	no	no
at1g53860	AT1G53860	no	no	yes
at1g54030	MVP1	no	no	no
at1g54040	ESP	no	no	no
at1g54100	ALDH7B4	no	no	no
at1g55250	HUB2	no	no	yes
at1g55255	at1g55255	no	no	no
at1g55450	AT1G55450	no	no	no
at1g55550	AT1G55550	no	no	no
at1g55840	AT1G55840	no	no	no
at1g55850	CSLE1	no	no	yes
at1g55920	SERAT2;1	no	no	no
at1g56000	AT1G56000	no	no	no
at1g56150	AT1G56150	no	no	no
at1g56280	DI19	no	no	no
at1g56650	PAP1	no	no	no
at1g57630	AT1G57630	no	no	no
at1g57820	VIM1	no	no	no
at1g58170	AT1G58170	no	no	no
at1g58440	XF1	no	no	yes
at1g59520	CW7	no	no	yes
at1g59580	MPK2	no	yes	no
at1g59700	GSTU16	no	no	no
at1g59720	CRR28	no	no	no
at1g59820	ALA3	no	no	yes
at1g59830	PP2A-1	no	no	no
at1g60590	AT1G60590	no	no	no
at1g60670	AT1G60670	no	no	no
at1g60730	AT1G60730	no	no	yes
at1g60940	SNRK2.10	no	yes	yes
at1g61010	CPSF73-I	no	no	yes
at1g61370	AT1G61370	no	yes	no
at1g61420	AT1G61420	no	yes	no
at1g61690	AT1G61690	no	no	yes
at1g61890	AT1G61890	no	no	no
at1g62300	WRKY6	no	no	yes
at1g62380	ACO2	no	no	yes
at1g62830	LDL1	no	no	no
at1g62880	AT1G62880	no	no	no
at1g63000	NRS/ER	no	no	no
at1g63100	AT1G63100	no	no	no
at1g63650	EGL3	no	no	no
at1g63700	YDA	no	yes	yes
at1g63840	AT1G63840	no	no	yes
at1g63940	MDAR6	no	no	yes
at1g64090	RTNLB3	no	no	yes
at1g64230	UBC28	no	no	no
at1g64280	NPR1	no	no	yes
at1g64520	RPN12a	no	no	no
at1g64750	DSS1(I)	no	no	yes
at1g64810	APO1	no	no	no
at1g64860	SIGA	no	no	no
at1g65295	AT1G65295	no	no	no
at1g65690	AT1G65690	no	no	no
at1g65820	AT1G65820	no	no	no
at1g66090	AT1G66090	no	no	yes
at1g66160	CMPG1	no	no	yes
at1g66240	ATX1	no	no	no
at1g66250	AT1G66250	no	no	no
at1g66390	MYB90	no	no	no
at1g66750	CAK4	no	yes	yes
at1g67100	LBD40	no	no	no
at1g67370	ASY1	no	no	yes
at1g67800	AT1G67800	no	no	yes
at1g68140	AT1G68140	no	no	no
at1g68170	AT1G68170	no	no	no
at1g68620	AT1G68620	no	no	no
at1g68840	RAV2	no	no	yes
at1g69295	PDCB4	no	no	no
at1g69420	AT1G69420	no	no	no
at1g69480	AT1G69480	no	no	no
at1g69530	EXPA1	no	no	no
at1g69690	AT1G69690	no	no	no
at1g69770	CMT3	no	no	no
at1g69920	GSTU12	no	no	no
at1g69930	GSTU11	no	no	no
at1g70130	AT1G70130	no	yes	yes
at1g70410	BCA4	no	no	yes
at1g70520	CRK2	no	yes	yes
at1g70530	CRK3	no	yes	yes
at1g70700	TIFY7	no	no	no
at1g70830	MLP28	no	no	yes
at1g70840	MLP31	no	no	no
at1g70940	PIN3	no	no	yes
at1g71050	AT1G71050	no	no	no
at1g71400	RLP12	no	no	no
at1g71697	CK1	no	yes	yes
at1g71830	SERK1	no	yes	yes
at1g71880	SUC1	no	no	yes
at1g72260	THI2.1	no	no	yes
at1g72310	ATL3	no	no	no
at1g72610	GER1	no	no	no
at1g72830	NF-YA3	no	no	no
at1g72970	HTH	no	no	no
at1g73360	HDG11	no	no	no
at1g73500	MKK9	no	yes	no
at1g73590	PIN1	no	no	yes
at1g73830	BEE3	no	no	no
at1g74360	AT1G74360	no	yes	no
at1g74490	AT1G74490	no	yes	no
at1g74860	AT1G74860	no	no	no
at1g74890	ARR15	no	no	no
at1g74950	TIFY10B	no	no	no
at1g75020	LPAT4	no	no	no
at1g75140	AT1G75140	no	no	yes
at1g75240	HB33	no	no	yes
at1g75280	AT1G75280	no	no	no
at1g75390	bZIP44	no	no	no
at1g76150	ECH2	no	no	no
at1g76310	CYCB2;4	no	no	yes
at1g76540	CDKB2;1	no	yes	no
at1g76670	AT1G76670	no	no	no
at1g76700	AT1G76700	no	no	no
at1g77400	AT1G77400	no	no	no
at1g77630	AT1G77630	no	no	no
at1g77710	AT1G77710	no	no	no
at1g77760	NIA1	no	no	yes
at1g78020	AT1G78020	no	no	yes
at1g78170	AT1G78170	no	no	yes
at1g78290	AT1G78290	no	yes	no
at1g78300	GRF2	no	no	yes
at1g78380	GSTU19	no	no	yes
at1g78410	AT1G78410	no	no	no
at1g78430	RIP2	no	no	yes
at1g78570	RHM1	no	no	no
at1g78600	LZF1	no	no	no
at1g79340	MC4	no	no	yes
at1g79430	APL	no	no	no
at1g79470	AT1G79470	no	no	no
at1g79630	AT1G79630	no	no	no
at1g79680	WAKL10	no	yes	no
at1g79830	GC5	no	no	yes
at1g80050	APT2	no	no	no
at1g80080	TMM	no	no	no
at1g80370	CYCA2;4	no	no	no
at1g80440	AT1G80440	no	no	no
at1g80450	AT1G80450	no	no	no
at1g80650	RTL1	no	no	no
at1g80840	WRKY40	no	no	no
at2g01420	PIN4	no	no	yes
at2g01540	AT2G01540	no	no	no
at2g01730	CPSF73-II	no	no	no
at2g01930	BPC1	no	no	yes
at2g02090	ETL1	no	no	yes
at2g02390	GSTZ1	no	no	no
at2g02950	PKS1	no	no	yes
at2g04030	CR88	no	no	no
at2g04040	TX1	no	no	no
at2g04050	AT2G04050	no	no	no
at2g04280	AT2G04280	no	no	no
at2g04350	LACS8	no	no	no
at2g04400	AT2G04400	no	no	no
at2g04620	AT2G04620	no	no	no
at2g04630	NRPB6B	no	no	no
at2g04780	FLA7	no	no	no
at2g05380	GRP3S	no	no	no
at2g05520	GRP-3	no	no	no
at2g05940	AT2G05940	no	yes	yes
at2g06510	RPA1A	no	no	yes
at2g07749	AT2G07749	no	no	no
at2g13790	SERK4	no	yes	yes
at2g14610	PR1	no	no	no
at2g14750	APK	no	yes	yes
at2g15050	LTP	no	no	no
at2g15080	RLP19	no	yes	no
at2g15620	NIR1	no	no	yes
at2g15910	AT2G15910	no	no	no
at2g15970	COR413-PM1	no	no	no
at2g16720	MYB7	no	no	no
at2g16900	AT2G16900	no	no	yes
at2g17120	LYM2	no	no	yes
at2g17200	DSK2	no	no	no
at2g17290	CPK6	no	yes	yes
at2g17520	IRE1A	no	yes	no
at2g17620	CYCB2;1	no	no	no
at2g17760	AT2G17760	no	no	no
at2g18660	PNP-A	no	no	no
at2g18690	AT2G18690	no	no	no
at2g18960	HA1	no	no	yes
at2g19130	AT2G19130	no	no	yes
at2g19190	FRK1	no	yes	yes
at2g19780	AT2G19780	no	no	no
at2g19830	SNF7.2	no	no	no
at2g20180	PIL5	no	no	yes
at2g20300	ALE2	no	yes	yes
at2g20870	AT2G20870	no	no	no
at2g20900	DGK5	no	yes	yes
at2g21620	RD2	no	no	yes
at2g21640	AT2G21640	no	no	no
at2g21650	MEE3	no	no	no
at2g22500	UCP5	no	no	no
at2g22510	AT2G22510	no	no	no
at2g22810	ACS4	no	no	no
at2g22840	GRF1	no	no	yes
at2g23130	AGP17	no	no	no
at2g23200	AT2G23200	no	yes	yes
at2g23450	AT2G23450	no	yes	no
at2g24040	AT2G24040	no	no	no
at2g24240	AT2G24240	no	no	no
at2g24420	AT2G24420	no	no	no
at2g24490	RPA2	no	no	no
at2g24970	AT2G24970	no	no	no
at2g25000	WRKY60	no	no	no
at2g25090	CIPK16	no	yes	no
at2g25280	AT2G25280	no	no	no
at2g25490	EBF1	no	no	no
at2g25850	PAPS2	no	no	no
at2g25880	AUR2	no	yes	no
at2g25910	AT2G25910	no	no	no
at2g26190	AT2G26190	no	no	no
at2g26230	AT2G26230	no	no	no
at2g26300	GP ALPHA 1	no	no	yes
at2g26530	AR781	no	no	no
at2g26560	PLA2A	no	no	no
at2g26580	YAB5	no	no	no
at2g26650	KT1	no	no	no
at2g26740	SEH	no	no	no
at2g26760	CYCB1;4	no	no	yes
at2g27050	EIL1	no	no	no
at2g27770	AT2G27770	no	no	no
at2g28160	FRU	no	no	no
at2g28470	BGAL8	no	no	no
at2g28630	KCS12	no	no	no
at2g28720	AT2G28720	no	no	no
at2g28830	PUB12	no	no	no
at2g29310	AT2G29310	no	no	no
at2g29320	AT2G29320	no	no	no
at2g29340	AT2G29340	no	no	no
at2g29350	SAG13	no	no	no
at2g29360	AT2G29360	no	no	no
at2g29420	GSTU7	no	no	no
at2g29490	GSTU1	no	no	no
at2g29990	NDA2	no	no	no
at2g30020	AT2G30020	no	no	no
at2g30060	AT2G30060	no	no	no
at2g30110	UBA1	no	no	yes
at2g30250	WRKY25	no	no	no
at2g30360	SIP4	no	yes	no
at2g30490	C4H	no	no	no
at2g30530	AT2G30530	no	no	yes
at2g30540	AT2G30540	no	no	no
at2g30620	AT2G30620	no	no	yes
at2g30740	AT2G30740	no	no	yes
at2g30750	CYP71A12	no	no	no
at2g30770	CYP71A13	no	no	no
at2g31070	TCP10	no	no	yes
at2g31200	ADF6	no	no	no
at2g31350	GLX2-5	no	no	yes
at2g31360	DS2	no	no	yes
at2g31380	STH	no	no	no
at2g31570	GPX2	no	no	no
at2g31880	SOBIR1	no	yes	no
at2g31955	CNX2	no	no	no
at2g32020	AT2G32020	no	no	no
at2g32680	RLP23	no	yes	no
at2g32720	CB5-B	no	no	no
at2g32980	AT2G32980	no	no	yes
at2g33330	PDLP3	no	no	no
at2g33560	BUBR1	no	no	no
at2g33580	AT2G33580	no	yes	no
at2g33630	AT2G33630	no	no	no
at2g34090	MEE18	no	no	no
at2g34510	AT2G34510	no	no	no
at2g34610	AT2G34610	no	no	no
at2g34650	PID	no	yes	no
at2g34770	FAH1	no	no	no
at2g35190	NPSN11	no	no	no
at2g35470	AT2G35470	no	no	yes
at2g35530	bZIP16	no	no	yes
at2g35860	FLA16	no	no	no
at2g35930	PUB23	no	no	no
at2g35980	YLS9	no	no	yes
at2g36010	E2F3	no	no	no
at2g36010/at5g02470	at2g36010/at5g02470	no	no	no
at2g36130	AT2G36130	no	no	no
at2g36220	AT2G36220	no	no	yes
at2g36330	AT2G36330	no	no	yes
at2g36410	AT2G36410	no	no	yes
at2g36530	LOS2	no	no	yes
at2g36740	SWC2	no	no	no
at2g36830	GAMMA-TIP	no	no	no
at2g37040	PAL1	no	no	no
at2g37210	AT2G37210	no	no	no
at2g37390	AT2G37390	no	no	no
at2g37430	AT2G37430	no	no	no
at2g37710	RLK	no	yes	yes
at2g37940	AtIPCS2	no	no	yes
at2g37970	SOUL-1	no	no	yes
at2g38110	GPAT6	no	no	no
at2g38120	AUX1	no	no	no
at2g38230	PDX1.1	no	no	yes
at2g38310	PYL4	no	no	yes
at2g38470	WRKY33	no	no	yes
at2g38530	LTP2	no	no	no
at2g38750	ANNAT4	no	no	yes
at2g38810	HTA8	no	no	no
at2g38860	YLS5	no	no	no
at2g39010	PIP2E	no	no	yes
at2g39210	AT2G39210	no	no	no
at2g39350	AT2G39350	no	no	no
at2g39450	MTP11	no	no	no
at2g39530	AT2G39530	no	no	no
at2g39660	BIK1	no	yes	yes
at2g39700	EXPA4	no	no	no
at2g39930	ISA1	no	no	no
at2g40140	CZF1	no	no	yes
at2g40460	AT2G40460	no	no	yes
at2g40670	RR16	no	no	no
at2g40940	ERS1	no	yes	no
at2g40950	BZIP17	no	no	yes
at2g41090	AT2G41090	no	no	no
at2g41100	TCH3	no	no	no
at2g41720	EMB2654	no	no	yes
at2g41730	AT2G41730	no	no	no
at2g41760	AT2G41760	no	no	no
at2g42010	PLDBETA1	no	no	yes
at2g42290	AT2G42290	no	yes	no
at2g42360	AT2G42360	no	no	no
at2g42380	BZIP34	no	no	no
at2g42490	AT2G42490	no	no	no
at2g42780	AT2G42780	no	no	no
at2g42790	CSY3	no	no	no
at2g42870	PAR1	no	no	no
at2g43000	NAC042	no	no	no
at2g43010	PIF4	no	no	no
at2g43020	PAO2	no	no	no
at2g43080	AT-P4H-1	no	no	no
at2g43140	AT2G43140	no	no	yes
at2g43410	FPA	no	no	yes
at2g43510	TI1	no	no	no
at2g43570	CHI	no	no	no
at2g43590	AT2G43590	no	no	no
at2g43680	IQD14	no	no	yes
at2g43970	AT2G43970	no	no	no
at2g44040	AT2G44040	no	no	no
at2g44080	ARL	no	no	no
at2g44350	ATCS	no	no	no
at2g44450	BGLU15	no	no	no
at2g44970	AT2G44970	no	no	yes
at2g45010	AT2G45010	no	no	no
at2g45180	AT2G45180	no	no	no
at2g45190	AFO	no	no	no
at2g45280	RAD51C	no	no	no
at2g45490	AUR3	no	yes	no
at2g45590	AT2G45590	no	yes	no
at2g45820	AT2G45820	no	no	yes
at2g46060	AT2G46060	no	no	no
at2g46070	MPK12	no	yes	no
at2g46170	AT2G46170	no	no	yes
at2g46200	AT2G46200	no	no	no
at2g46270	GBF3	no	no	no
at2g46450	CNGC12	no	no	yes
at2g46600	AT2G46600	no	no	no
at2g46700	CRK3	no	yes	no
at2g46870	NGA1	no	no	no
at2g47060	AT2G47060	no	yes	no
at2g47130	AT2G47130	no	no	yes
at2g47190	MYB2	no	no	no
at2g47240	LACS1	no	no	yes
at2g47430	CKI1	no	yes	no
at2g47630	AT2G47630	no	no	yes
at2g47710	AT2G47710	no	no	no
at2g47800	MRP4	no	no	yes
at3g01080	WRKY58	no	no	no
at3g01290	AT3G01290	no	no	yes
at3g01320	SNL1	no	no	no
at3g01410	AT3G01410	no	no	no
at3g01440	PQL1	no	no	no
at3g01500	CA1	no	no	no
at3g01550	PPT2	no	no	no
at3g01770	BET10	no	no	yes
at3g01970	WRKY45	no	no	no
at3g02230	RGP1	no	no	no
at3g02360	AT3G02360	no	no	yes
at3g02470	SAMDC	no	no	no
at3g02550	LBD41	no	no	no
at3g02640	AT3G02640	no	no	no
at3g02800	AT3G02800	no	no	no
at3g02840	AT3G02840	no	no	no
at3g02920	RPA32B	no	no	yes
at3g03000	AT3G03000	no	no	no
at3g03600	RPS2	no	no	yes
at3g03770	AT3G03770	no	yes	no
at3g04000	AT3G04000	no	no	no
at3g04110	GLR1.1	no	no	no
at3g04240	SEC	no	no	no
at3g04690	ANX1	no	yes	yes
at3g04720	PR4	no	no	no
at3g04730	IAA16	no	no	yes
at3g04780	AT3G04780	no	no	no
at3g05120	GID1A	no	no	no
at3g05330	ATN	no	no	yes
at3g05700	AT3G05700	no	no	no
at3g05900	AT3G05900	no	no	yes
at3g06030	NP3	no	yes	yes
at3g06110	MKP2	no	no	no
at3g06760	AT3G06760	no	no	no
at3g07040	RPM1	no	no	yes
at3g07270	AT3G07270	no	no	no
at3g07390	AIR12	no	no	no
at3g07540	AT3G07540	no	no	yes
at3g08040	FRD3	no	no	yes
at3g08580	AAC1	no	no	no
at3g08600	AT3G08600	no	no	no
at3g08630	AT3G08630	no	no	no
at3g08680	AT3G08680	no	yes	yes
at3g08690	UBC11	no	no	no
at3g08710	TH9	no	no	yes
at3g08730	PK1	no	yes	no
at3g08850	RAPTOR1	no	no	yes
at3g09260	PYK10	no	no	yes
at3g09390	MT2A	no	no	no
at3g09820	ADK1	no	yes	no
at3g09922	IPS1	no	no	no
at3g09980	AT3G09980	no	no	no
at3g10340	PAL4	no	no	no
at3g10500	NAC053	no	no	yes
at3g10525	LGO	no	no	yes
at3g10540	AT3G10540	no	yes	yes
at3g10720	AT3G10720	no	no	no
at3g10800	BZIP28	no	no	yes
at3g11000	AT3G11000	no	no	yes
at3g11410	PP2CA	no	no	yes
at3g11520	CYCB1;3	no	no	no
at3g11820	SYP121	no	no	yes
at3g11930	AT3G11930	no	no	yes
at3g12110	ACT11	no	no	no
at3g12510	AT3G12510	no	no	no
at3g12560	TRFL9	no	no	no
at3g12740	ALIS1	no	no	no
at3g12810	PIE1	no	no	yes
at3g13175	AT3G13175	no	no	no
at3g13520	AGP12	no	no	no
at3g14050	RSH2	no	no	yes
at3g14230	RAP2.2	no	no	no
at3g14760	AT3G14760	no	no	no
at3g14990	AT3G14990	no	no	no
at3g15180	AT3G15180	no	no	yes
at3g15480	AT3G15480	no	no	no
at3g15730	PLDALPHA1	no	no	yes
at3g16050	PDX1.2	no	no	no
at3g16190	AT3G16190	no	no	no
at3g16420	PBP1	no	no	yes
at3g16530	AT3G16530	no	no	no
at3g16570	RALF23	no	no	no
at3g16690	AT3G16690	no	no	no
at3g16770	EBP	no	no	yes
at3g16870	GATA17	no	no	no
at3g17020	AT3G17020	no	no	no
at3g17130	AT3G17130	no	no	no
at3g17360	POK1	no	no	yes
at3g17609	HYH	no	no	no
at3g18035	HON4	no	no	yes
at3g18080	BGLU44	no	no	no
at3g18690	MKS1	no	no	yes
at3g19050	POK2	no	no	yes
at3g19210	RAD54	no	no	yes
at3g19290	ABF4	no	no	yes
at3g19450	ATCAD4	no	no	no
at3g19590	BUB3.1	no	no	yes
at3g19660	AT3G19660	no	no	no
at3g19680	AT3G19680	no	no	yes
at3g19720	ARC5	no	no	yes
at3g19930	STP4	no	no	no
at3g20250	PUM5	no	no	yes
at3g20410	CPK9	no	yes	yes
at3g20510	AT3G20510	no	no	no
at3g20770	EIN3	no	no	no
at3g21220	MKK5	no	yes	yes
at3g21630	CERK1	no	yes	yes
at3g21790	AT3G21790	no	no	no
at3g22060	AT3G22060	no	no	no
at3g22120	CWLP	no	no	no
at3g22260	AT3G22260	no	no	yes
at3g22880	DMC1	no	no	no
at3g23150	ETR2	no	yes	yes
at3g23240	ERF1	no	no	no
at3g23250	MYB15	no	no	no
at3g23280	XBAT35	no	no	yes
at3g23340	ckl10	no	yes	no
at3g23410	FAO3	no	no	no
at3g23560	ALF5	no	no	no
at3g23730	XTH16	no	no	no
at3g24503	ALDH2C4	no	no	no
at3g24530	AT3G24530	no	no	yes
at3g24570	AT3G24570	no	no	no
at3g25070	RIN4	no	no	yes
at3g25100	CDC45	no	no	no
at3g25250	AGC2-1	no	yes	yes
at3g25980	MAD2	no	no	yes
at3g26090	RGS1	no	no	yes
at3g26200	CYP71B22	no	no	no
at3g26300	CYP71B34	no	no	no
at3g26744	ICE1	no	no	no
at3g26830	PAD3	no	no	no
at3g26980	MUB4	no	no	no
at3g27010	TCP20	no	no	no
at3g27170	CLC-B	no	no	yes
at3g27540	AT3G27540	no	no	yes
at3g27580	ATPK7	no	yes	no
at3g27640	AT3G27640	no	no	no
at3g27920/at5g41315	at3g27920/at5g41315	no	no	no
at3g27960	AT3G27960	no	no	yes
at3g28220	AT3G28220	no	no	no
at3g28450	AT3G28450	no	yes	yes
at3g28860	ABCB19	no	no	yes
at3g28910	MYB30	no	no	no
at3g28920	HB34	no	no	yes
at3g30340	AT3G30340	no	no	no
at3g43210	TES	no	no	yes
at3g43720	AT3G43720	no	no	no
at3g44050	AT3G44050	no	no	yes
at3g44200	NEK6	no	yes	yes
