ID	official_symbol	virtual	kinase_function	phosphorylation_site
at1g27880	AT1G27880	normal	no	yes
at1g27890	AT1G27890	normal	no	yes
at1g27970	NTF2B	normal	no	no
at1g28190	AT1G28190	normal	no	yes
at1g28200	FIP1	normal	no	no
at1g28230	PUP1	normal	no	no
at1g28280	AT1G28280	normal	no	yes
at1g28300	LEC2	normal	no	no
at1g28310	AT1G28310	normal	no	no
at1g28360	ERF12	normal	no	no
at1g28390	AT1G28390	normal	yes	no
at1g28480	GRX480	normal	no	no
at1g28520	VOZ1	normal	no	no
at1g28680	AT1G28680	normal	no	no
at1g29050	TBL38	normal	no	no
at1g29060	AT1G29060	normal	no	no
at1g29120	AT1G29120	normal	no	no
at1g29150	ATS9	normal	no	yes
at1g29230	CIPK18	normal	yes	no
at1g29240	AT1G29240	normal	no	yes
at1g29330	ERD2	normal	no	no
at1g29340	PUB17	normal	no	no
at1g29400	ML5	normal	no	yes
at1g29640	AT1G29640	normal	no	no
at1g29720	AT1G29720	normal	yes	no
at1g29810	AT1G29810	normal	no	no
at1g29920	CAB2	normal	no	yes
at1g29990	PFD6	normal	no	no
at1g30080	AT1G30080	normal	no	no
at1g30120	PDH-E1 BETA	normal	no	no
at1g30270	CIPK23	normal	yes	yes
at1g30320	AT1G30320	normal	no	yes
at1g30360	ERD4	normal	no	yes
at1g30400	MRP1	normal	no	no
at1g30440	AT1G30440	normal	no	yes
at1g30450	CCC1	normal	no	yes
at1g30460	CPSF30	normal	no	yes
at1g30480	DRT111	normal	no	yes
at1g30500	NF-YA7	normal	no	no
at1g30530	UGT78D1	normal	no	no
at1g30590	AT1G30590	normal	no	no
at1g30690	AT1G30690	normal	no	yes
at1g30810	AT1G30810	normal	no	yes
at1g30840	PUP4	normal	no	no
at1g30860	AT1G30860	normal	no	yes
at1g30970	SUF4	normal	no	no
at1g31310	AT1G31310	normal	no	no
at1g31420	FEI1	normal	yes	no
at1g31650	ROPGEF14	normal	no	no
at1g31720	AT1G31720	normal	no	no
at1g31812	ACBP6	normal	no	yes
at1g31820	AT1G31820	normal	no	no
at1g31870	AT1G31870	normal	no	yes
at1g31880	BRX	normal	no	no
at1g31930	XLG3	normal	no	no
at1g32120	AT1G32120	normal	no	yes
at1g32150	bZIP68	normal	no	no
at1g32170	XTH30	normal	no	no
at1g32210	ATDAD1	normal	no	no
at1g32230	RCD1	normal	no	no
at1g32310	AT1G32310	normal	no	no
at1g32320	MKK10	normal	yes	no
at1g32350	AOX1D	normal	no	no
at1g32410	AT1G32410	normal	no	no
at1g32500	NAP6	normal	no	yes
at1g32640	MYC2	normal	no	yes
at1g32700	AT1G32700	normal	no	yes
at1g32740	AT1G32740	normal	no	no
at1g32900	AT1G32900	normal	no	no
at1g33080	AT1G33080	normal	no	no
at1g33100	AT1G33100	normal	no	no
at1g33110	AT1G33110	normal	no	no
at1g33490	AT1G33490	normal	no	yes
at1g33560	ADR1	normal	yes	yes
at1g33600	AT1G33600	normal	no	no
at1g34210	SERK2	normal	yes	yes
at1g34300	AT1G34300	normal	yes	yes
at1g34350	AT1G34350	normal	no	no
at1g34470	AT1G34470	normal	no	no
at1g34570	AT1G34570	normal	no	yes
at1g34640	AT1G34640	normal	no	no
at1g34670	MYB93	normal	no	no
at1g34750	AT1G34750	normal	no	yes
at1g34760	GRF11	normal	no	yes
at1g35140	PHI-1	normal	no	no
at1g35160	GF14 PHI	normal	no	yes
at1g35210	AT1G35210	normal	no	no
at1g35230	AGP5	normal	no	no
at1g35430	AT1G35430	normal	no	no
at1g35460	AT1G35460	normal	no	yes
at1g35510	AT1G35510	normal	no	yes
at1g35580	CINV1	normal	no	yes
at1g35670	CDPK2	normal	yes	yes
at1g35720	ANNAT1	normal	no	yes
at1g36050	AT1G36050	normal	no	yes
at1g36060	AT1G36060	normal	no	no
at1g36070	AT1G36070	normal	no	no
at1g37130	NIA2	normal	no	yes
at1g42560	MLO9	normal	no	no
at1g42990	BZIP60	normal	no	no
at1g43560	ty2	normal	no	no
at1g43700	VIP1	normal	no	yes
at1g43800	AT1G43800	normal	no	no
at1g43850	SEU	normal	no	no
at1g43860	AT1G43860	normal	no	no
at1g43890	RAB18	normal	no	no
at1g44100	AAP5	normal	no	no
at1g44110	CYCA1;1	normal	no	no
at1g44920	AT1G44920	normal	no	no
at1g44960	AT1G44960	normal	no	yes
at1g45145	TRX5	normal	no	no
at1g45249	ABF2	normal	no	yes
at1g47128	RD21	normal	no	no
at1g47220	CYCA3;3	normal	no	no
at1g47230	CYCA3;4	normal	no	no
at1g47240	NRAMP2	normal	no	no
at1g47260	GAMMA CA2	normal	no	no
at1g47420	SDH5	normal	no	yes
at1g47510	5PTASE11	normal	no	yes
at1g47530	AT1G47530	normal	no	no
at1g47603	PUP19	normal	no	no
at1g47640	AT1G47640	normal	no	no
at1g47670	AT1G47670	normal	no	yes
at1g47710	AT1G47710	normal	no	no
at1g47820	AT1G47820	normal	no	yes
at1g47870	ATE2F2	normal	no	no
at1g48210	AT1G48210	normal	yes	yes
at1g48240	NPSN12	normal	no	yes
at1g48260	CIPK17	normal	yes	no
at1g48270	GCR1	normal	no	no
at1g48320	AT1G48320	normal	no	no
at1g48390	AT1G48390	normal	no	no
at1g48440	AT1G48440	normal	no	no
at1g48470	GLN1;5	normal	no	no
at1g48480	RKL1	normal	yes	yes
at1g48510	AT1G48510	normal	no	no
at1g48630	RACK1B_AT	normal	no	no
at1g49180	AT1G49180	normal	yes	no
at1g49200	AT1G49200	normal	no	no
at1g49230	AT1G49230	normal	no	no
at1g49510	emb1273	normal	no	no
at1g49580	AT1G49580	normal	yes	yes
at1g49620	ICK5	normal	no	no
at1g49720	ABF1	normal	no	yes
at1g49760	PAB8	normal	no	yes
at1g49820	MTK	normal	no	no
at1g49840	AT1G49840	normal	no	no
at1g49850	AT1G49850	normal	no	no
at1g49870	AT1G49870	normal	no	yes
at1g49910	BUB3.2	normal	no	no
at1g50290	AT1G50290	normal	no	no
at1g50420	SCL3	normal	no	no
at1g50430	DWF5	normal	no	no
at1g50440	AT1G50440	normal	no	no
at1g50490	UBC20	normal	no	no
at1g50610	AT1G50610	normal	yes	no
at1g50740	AT1G50740	normal	no	no
at1g50900	AT1G50900	normal	no	yes
at1g51170	AT1G51170	normal	yes	no
at1g51210	AT1G51210	normal	no	no
at1g51460	AT1G51460	normal	no	no
at1g51500	CER5	normal	no	yes
at1g51570	AT1G51570	normal	no	no
at1g51580	AT1G51580	normal	no	yes
at1g51650	AT1G51650	normal	no	no
at1g51660	MKK4	normal	yes	no
at1g51690	B ALPHA	normal	no	yes
at1g51740	SYP81	normal	no	yes
at1g51800	AT1G51800	normal	yes	yes
at1g51805	AT1G51805	normal	yes	yes
at1g51820	AT1G51820	normal	yes	no
at1g51880	RHS6	normal	yes	yes
at1g51930	AT1G51930	normal	no	no
at1g52100	AT1G52100	normal	no	no
at1g52155	AT1G52155	normal	no	no
at1g52190	AT1G52190	normal	no	yes
at1g52240	ROPGEF11	normal	no	no
at1g52250	at1g52250	normal	no	no
at1g52290	AT1G52290	normal	yes	yes
at1g52340	ABA2	normal	no	no
at1g52380	AT1G52380	normal	no	yes
at1g52550	AT1G52550	normal	no	no
at1g52600	AT1G52600	normal	no	no
at1g52695	AT1G52695	normal	no	no
at1g52740	HTA9	normal	no	no
at1g52760	LysoPL2	normal	no	no
at1g52830	IAA6	normal	no	yes
at1g52920	GPCR	normal	no	yes
at1g53080	AT1G53080	normal	no	no
at1g53170	ERF8	normal	no	no
at1g53270	AT1G53270	normal	no	yes
at1g53280	AT1G53280	normal	no	no
at1g53310	PPC1	normal	no	yes
at1g53390	AT1G53390	normal	no	yes
at1g53510	MPK18	normal	yes	yes
at1g53560	AT1G53560	normal	no	no
at1g53730	SRF6	normal	no	yes
at1g53800	AT1G53800	normal	no	no
at1g53860	AT1G53860	normal	no	yes
at1g54030	MVP1	normal	no	no
at1g54040	ESP	normal	no	no
at1g54060	ASIL1	normal	no	yes
at1g54100	ALDH7B4	normal	no	no
at1g54130	RSH3	normal	no	yes
at1g54160	NF-YA5	normal	no	no
at1g54310	AT1G54310	normal	no	yes
at1g54320	AT1G54320	normal	no	no
at1g54350	AT1G54350	normal	no	no
at1g54540	AT1G54540	normal	no	no
at1g54570	AT1G54570	normal	no	no
at1g54610	AT1G54610	normal	yes	yes
at1g54730	AT1G54730	normal	no	no
at1g54760	AGL85	normal	no	no
at1g54770	AT1G54770	normal	no	no
at1g54790	AT1G54790	normal	no	no
at1g54830	NF-YC3	normal	no	no
at1g55230	AT1G55230	normal	no	no
at1g55250	HUB2	normal	no	yes
at1g55255	at1g55255	normal	no	no
at1g55310	SR33	normal	no	yes
at1g55450	AT1G55450	normal	no	no
at1g55550	AT1G55550	normal	no	no
at1g55740	SIP1	normal	no	no
at1g55840	AT1G55840	normal	no	no
at1g55850	CSLE1	normal	no	yes
at1g55890	AT1G55890	normal	no	yes
at1g55910	ZIP11	normal	no	no
at1g55920	SERAT2;1	normal	no	no
at1g56000	AT1G56000	normal	no	no
at1g56110	NOP56	normal	no	yes
at1g56145	AT1G56145	normal	yes	no
at1g56150	AT1G56150	normal	no	no
at1g56280	DI19	normal	no	no
at1g56290	AT1G56290	normal	no	yes
at1g56330	SAR1B	normal	no	no
at1g56540	AT1G56540	normal	no	yes
at1g56650	PAP1	normal	no	no
at1g56700	AT1G56700	normal	no	no
at1g57540	AT1G57540	normal	no	no
at1g57550	AT1G57550	normal	no	no
at1g57620	AT1G57620	normal	no	no
at1g57630	AT1G57630	normal	no	no
at1g57680	AT1G57680	normal	no	yes
at1g57720	AT1G57720	normal	no	no
at1g57760	AT1G57760	normal	no	no
at1g57820	VIM1	normal	no	no
at1g57943	PUP17	normal	no	no
at1g57980	AT1G57980	normal	no	no
at1g57990	PUP18	normal	no	yes
at1g58110	AT1G58110	normal	no	yes
at1g58170	AT1G58170	normal	no	no
at1g58180	BCA6	normal	no	no
at1g58200	MSL3	normal	no	yes
at1g58340	ZF14	normal	no	no
at1g58440	XF1	normal	no	yes
at1g58520	RXW8	normal	no	yes
at1g59520	CW7	normal	no	yes
at1g59530	bZIP4	normal	no	yes
at1g59560	ZCF61	normal	no	yes
at1g59580	MPK2	normal	yes	no
at1g59610	DL3	normal	no	yes
at1g59700	GSTU16	normal	no	no
at1g59720	CRR28	normal	no	no
at1g59730	TH7	normal	no	no
at1g59750	ARF1	normal	no	yes
at1g59810	AGL50	normal	no	no
at1g59820	ALA3	normal	no	yes
at1g59830	PP2A-1	normal	no	no
at1g59840	CCB4	normal	no	no
at1g60010	AT1G60010	normal	no	yes
at1g60040	AGL49	normal	no	no
at1g60160	AT1G60160	normal	no	yes
at1g60410	AT1G60410	normal	no	yes
at1g60590	AT1G60590	normal	no	no
at1g60630	AT1G60630	normal	yes	no
at1g60670	AT1G60670	normal	no	no
at1g60730	AT1G60730	normal	no	yes
at1g60800	NIK3	normal	yes	no
at1g60920	AGL55	normal	no	no
at1g60940	SNRK2.10	normal	yes	yes
at1g61010	CPSF73-I	normal	no	yes
at1g61340	AT1G61340	normal	no	no
at1g61370	AT1G61370	normal	yes	no
at1g61420	AT1G61420	normal	yes	no
at1g61560	MLO6	normal	no	no
